company,label,status,Revenues,NetIncomeLoss,OperatingIncomeLoss,GrossProfit,LongTermDebt,ShortTermBorrowings,LiabilitiesCurrent,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,Assets,AssetsCurrent,RetainedEarningsAccumulatedDeficit,AccountsReceivableNetCurrent,InventoryNet,InterestExpense,debt_to_assets,debt_to_equity,net_income_margin,operating_margin,operating_cashflow_ratio,cashflow_to_debt,asset_turnover,interest_burden,retained_earnings_ratio,cash_flow_margin
Amazon,0.0,Healthy,62900000000.0,77670000000.0,79975000000.0,5531000000.0,68836000000.0,455000000.0,218005000000.0,82059500000.0,411065000000.0,86810000000,139514000000,9661000000,-142545000000,818042000000,229083000000.0,250536000000,67729000000.0,38325000000.0,3182000000.0,0.08414726872214386,0.16745770133677157,1.0,1.0,0.6399577991330474,2.0267592538787844,0.07689091758124889,0.05058823529411765,0.3062630036110615,1.0
UnitedHealth,0.0,Healthy,447567000000.0,12056000000.0,18964000000.0,0.0,32522500000.0,0.0,114897000000.0,207883000000.0,32454000000.0,24365000000,19697000000,-11644000000,-8685000000,309581000000,90582000000.0,95603000000,23018000000.0,3300000000.0,4002000000.0,0.10505328169364399,1.002110679731312,0.026936749134766416,0.04237130977038075,0.1714318041376189,0.6056422476746868,1.4457185679999742,0.008941678005751094,0.30881417141232825,0.04400905339312326
Qualcomm,0.0,Healthy,44284000000.0,5541000000.0,12355000000.0,0.0,14811000000.0,1000000000.0,9144000000.0,28937000000.0,4909000000.0,5520000000,14012000000,-13196000000,-800000000,50143000000,25754000000.0,20646000000,2855000000.0,6526000000.0,664000000.0,0.29537522685120554,3.0171114279894073,0.1251241983560654,0.27899467076144885,1.5323709536307961,0.9460536088042671,0.8831541790479229,0.014994128804985999,0.41174241668827155,0.31641224821605995
IBM,0.0,Healthy,67535000000.0,10593000000.0,12393000000.0,39297000000.0,42656000000.0,6424000000.0,38658000000.0,119139000000.0,32648000000.0,13587000000,13193000000,-3829000000,-10302000000,151880000000,36944000000.0,155648000000,8112000000.0,1220000000.0,1935000000.0,0.28085330524097973,1.3065425140896838,0.15685200266528468,0.18350484933738062,0.3412747684825909,0.3092882595648912,0.4446602580984988,0.028651810172503147,1.02480905978404,0.19535055896942327
Costco,0.0,Healthy,275235000000.0,8099000000.0,10383000000.0,16465000000.0,7531000000.0,36000000.0,37108000000.0,47935000000.0,29164000000.0,14161000000,13335000000,-3775000000,-5311000000,77099000000,38380000000.0,22650000000,6515000000.0,18116000000.0,154000000.0,0.09767960673938703,0.25822932382389246,0.029425763438516175,0.03772412665540356,0.3593564729977363,1.7706811844376578,3.569890660060442,0.0005595218631351391,0.293778129418021,0.0484495067851109
Honeywell,0.0,Healthy,9473000000.0,-115000000.0,8127000000.0,3470000000.0,29046000000.0,5893000000.0,23414000000.0,82059500000.0,13904000000.0,12487000000,6408000000,-1953000000,-2711000000,73681000000,30387000000.0,50964000000,7621000000.0,6162000000.0,910000000.0,0.39421289070452353,2.0890391254315306,-0.01213976564974137,0.8579119603082445,0.27368241223199796,0.22061557529436068,0.12856774473744928,0.09606249340230127,0.6916844233927335,0.6764488546395018
HomeDepot,0.0,Healthy,66176000000.0,14806000000.0,21526000000.0,53308000000.0,51365000000.0,0.0,28661000000.0,89479000000.0,6640000000.0,1659000000,19810000000,-694000000,-21031000000,96119000000,31683000000.0,89533000000,4903000000.0,23451000000.0,1943000000.0,0.5343896628138037,7.735692771084337,0.2237367021276596,0.3252840909090909,0.6911831408534245,0.3856711768714105,0.6884799051176146,0.029361097678916828,0.9314807686305517,0.29935323984526113
Berkshire,0.0,Healthy,371444000000.0,66968000000.0,20079000000.0,0.0,32522500000.0,0.0,35048000000.0,502473000000.0,717419000000.0,31583000000,45969000000,2233000000,-44487000000,1222176000000,34986000000.0,763186000000,6515000000.0,24424000000.0,5069000000.0,0.02661032453590972,0.04533264382459901,0.18029097252883342,0.05405660072581601,1.311601232595298,1.4134522253824275,0.3039202209829026,0.013646740827688696,0.6244485245987484,0.12375755160939468
Intel,0.0,Healthy,62900000000.0,-267000000.0,-2214000000.0,18375000000.0,46585000000.0,0.0,31575000000.0,82059500000.0,114281000000.0,14265000000,9697000000,11587000000,-14821000000,211429000000,63688000000.0,48983000000,3839000000.0,11618000000.0,878000000.0,0.22033401283646048,0.4076355649670549,-0.0042448330683624805,-0.03519872813990461,0.3071100554235946,0.20815713212407427,0.29749939696068184,0.01395866454689984,0.23167588173807757,0.15416534181240063
CocaCola,0.0,Healthy,47941000000.0,13107000000.0,13762000000.0,29544000000.0,37507000000.0,2373000000.0,21281000000.0,82059500000.0,32169000000.0,10270000000,7408000000,-8140000000,-67000000,104816000000,31044000000.0,80382000000,3038000000.0,4425000000.0,1654000000.0,0.35783658983361316,1.1659361497093474,0.2733985523873094,0.28706117936630443,0.3481039424839058,0.19750979817100808,0.45738246069302396,0.03450074049352329,0.7668867348496413,0.15452326818380926
