company,label,status,Revenues,NetIncomeLoss,OperatingIncomeLoss,GrossProfit,LongTermDebt,ShortTermBorrowings,LiabilitiesCurrent,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,Assets,AssetsCurrent,RetainedEarningsAccumulatedDeficit,AccountsReceivableNetCurrent,InventoryNet,InterestExpense
3M,0.0,Healthy,24948000000.0,3250000000.0,4629000000.0,0.0,12602000000.0,0.0,9595000000.0,32986000000.0,4702000000.0,2398000000,2306000000,-4016000000,1350000000,37733000000,16387000000.0,38258000000,3533000000.0,3661000000.0,942000000.0
McDonald's,0.0,Healthy,26885000000.0,8563000000.0,12393000000.0,0.0,39973000000.0,0.0,4361000000.0,82059500000.0,-1791000000.0,774000000,10551000000,-7125000000,-3822000000,59515000000,4163000000.0,70282000000,6515000000.0,61000000.0,1582000000.0
Apple,0.0,Healthy,62900000000.0,112010000000.0,133050000000.0,195201000000.0,90678000000.0,0.0,165631000000.0,285508000000.0,73733000000.0,35934000000,111482000000,-120686000000,15195000000,359241000000,147957000000.0,-14264000000,39777000000.0,5718000000.0,3933000000.0
Cisco,0.0,Healthy,12844000000.0,10180000000.0,11760000000.0,36790000000.0,24611000000.0,31000000.0,35064000000.0,75448000000.0,46843000000.0,8346000000,14193000000,-15815000000,1733000000,122291000000,34986000000.0,50000000,6701000000.0,3164000000.0,427000000.0
Starbucks,0.0,Healthy,37184400000.0,1856400000.0,2936600000.0,0.0,16074800000.0,0.0,10210400000.0,40108900000.0,-8096600000.0,6455700000,4747500000,-2298000000,-2485400000,32019700000,7382300000.0,-8272500000,1277500000.0,2185600000.0,542600000.0
Amazon,0.0,Healthy,62900000000.0,77670000000.0,79975000000.0,5531000000.0,68836000000.0,455000000.0,218005000000.0,82059500000.0,411065000000.0,86810000000,139514000000,9661000000,-142545000000,818042000000,229083000000.0,250536000000,67729000000.0,38325000000.0,3182000000.0
UnitedHealth,0.0,Healthy,447567000000.0,12056000000.0,18964000000.0,0.0,32522500000.0,0.0,114897000000.0,207883000000.0,32454000000.0,24365000000,19697000000,-11644000000,-8685000000,309581000000,90582000000.0,95603000000,23018000000.0,3300000000.0,4002000000.0
Qualcomm,0.0,Healthy,44284000000.0,5541000000.0,12355000000.0,0.0,14811000000.0,1000000000.0,9144000000.0,28937000000.0,4909000000.0,5520000000,14012000000,-13196000000,-800000000,50143000000,25754000000.0,20646000000,2855000000.0,6526000000.0,664000000.0
IBM,0.0,Healthy,67535000000.0,10593000000.0,12393000000.0,39297000000.0,42656000000.0,6424000000.0,38658000000.0,119139000000.0,32648000000.0,13587000000,13193000000,-3829000000,-10302000000,151880000000,36944000000.0,155648000000,8112000000.0,1220000000.0,1935000000.0
Costco,0.0,Healthy,275235000000.0,8099000000.0,10383000000.0,16465000000.0,7531000000.0,36000000.0,37108000000.0,47935000000.0,29164000000.0,14161000000,13335000000,-3775000000,-5311000000,77099000000,38380000000.0,22650000000,6515000000.0,18116000000.0,154000000.0
Honeywell,0.0,Healthy,9473000000.0,-115000000.0,8127000000.0,3470000000.0,29046000000.0,5893000000.0,23414000000.0,82059500000.0,13904000000.0,12487000000,6408000000,-1953000000,-2711000000,73681000000,30387000000.0,50964000000,7621000000.0,6162000000.0,910000000.0
HomeDepot,0.0,Healthy,66176000000.0,14806000000.0,21526000000.0,53308000000.0,51365000000.0,0.0,28661000000.0,89479000000.0,6640000000.0,1659000000,19810000000,-694000000,-21031000000,96119000000,31683000000.0,89533000000,4903000000.0,23451000000.0,1943000000.0
Berkshire,0.0,Healthy,371444000000.0,66968000000.0,20079000000.0,0.0,32522500000.0,0.0,35048000000.0,502473000000.0,717419000000.0,31583000000,45969000000,2233000000,-44487000000,1222176000000,34986000000.0,763186000000,6515000000.0,24424000000.0,5069000000.0
Intel,0.0,Healthy,62900000000.0,-267000000.0,-2214000000.0,18375000000.0,46585000000.0,0.0,31575000000.0,82059500000.0,114281000000.0,14265000000,9697000000,11587000000,-14821000000,211429000000,63688000000.0,48983000000,3839000000.0,11618000000.0,878000000.0
CocaCola,0.0,Healthy,47941000000.0,13107000000.0,13762000000.0,29544000000.0,37507000000.0,2373000000.0,21281000000.0,82059500000.0,32169000000.0,10270000000,7408000000,-8140000000,-67000000,104816000000,31044000000.0,80382000000,3038000000.0,4425000000.0,1654000000.0
Mastercard,0.0,Healthy,32791000000.0,623000000.0,18897000000.0,0.0,20000000.0,0.0,22762000000.0,46411000000.0,7737000000.0,10566000000,17648000000,-14179000000,-1362000000,54157000000,23558000000.0,85035000000,4609000000.0,0.0,575000000.0
Walmart,0.0,Healthy,680985000000.0,19436000000.0,29348000000.0,0.0,35999000000.0,3068000000.0,96584000000.0,82059500000.0,91013000000.0,9037000000,36443000000,-14822000000,-21379000000,260823000000,79458000000.0,98313000000,6515000000.0,56435000000.0,910000000.0
